jwat	jwlt	kqat	jdah
oorogi	oorogp	omrovi	oogmgi
ginyogno	ginyfgno	gmmyogno	gijyoghp
gutuk	guzuk	tutum	rutun
marra	carra	martq	magra
ŋolo	jolo	ŋoli	ŋklo
aciti	acitik	xcitk	awjti
bimme	bimml	bimme	hkmke
gutugi	futugi	gutggj	cututi
akita	ayita	snita	aklha
pkkione	pkgione	ojkionw	pkkloge
ryal	ryalk	fyal	rywl
caarre	jaarre	cxagfe	czarre
gutittigi	gutitqigi	gutittiyi	gutittiyi
yuyone	yuyoneq	yijome	juyind
mwaka	mwaca	mazka	kwqoa
tittiwu	tittiwuf	rottiau	totyiwy
pura	puram	oira	pjra
rocce	iocce	eosce	flccw
twon	twyn	twok	twom
wig	mig	wkg	fig
oworgi	oworgio	pwiggi	iwirgi
gwenynyone	gwenynyond	gwenynyoge	fwenynfone
katolika	katolikab	kxtopima	katpljka
lacoc	lfcoc	lqcof	lacuc
cokkewa	coksewa	cokjeda	xokneaa
waŋeyo	kaŋeyo	waŋeyk	saŋehp
ummo	ummoc	ujml	umjo
jic	jij	yic	jif
odoco	ococo	odpci	ovocl
lliwoo	lliwod	kliwki	lmiwop
otweene	otfeene	otwwebw	ptawene
giŋol	grŋol	giŋim	giŋkl
lujudaya-ni	lujudasa-ni	lhjudayx-gi	lujuraya-jj
gicenggo	gicenmgo	gifdnbgo	gjvengto
lama	lapa	oqma	lamw
kikomwu	kikomwd	uiklmau	likojwi
bibuto	biguto	bobytl	bivuyo
ginywal	ginywap	vibydal	glmywal
gibiketo	gibiketu	nibkkfto	gibiketk
ojwaa	owwaa	oywas	ijwas
awene	afene	awenz	awfnr
lagwar	lsgwar	lznwzr	labqar
amiiniwu	amiinewu	ahijniwy	amiinjsu
tyet	tjet	fyeg	tgef
ilaro	ilaro	lmaro	ilaro
puune	pupne	puufe	pukhr
akweya	akwema	wkeeua	ajwcya
doŋ	doŋt	dkŋ	xoŋ
apirika	apiriba	dpirila	apigimx
giketto	gikrtto	gokftro	gikettn
etitti	dtitti	etkttl	wfktti
giito	oiito	fijto	gjitk
oteerro	otefrro	otferro	ifedrro
nakanaka-ni	nakanada-ni	nauanana-ni	nanqnakz-nj
anyira	amyira	abyiew	znjira
cweyooro	cweyocro	cweyoigo	cwetporo
ecaŋ	ecaŋi	dcaŋ	ecsŋ
gala	galk	falz	galx
gupongi	gmpongi	guponek	gulobgi
cware	cwarey	vwqre	xdarw
paconi	pacwni	psdoji	paxino
labeddo	labeddg	lagexdo	kabedro
futi	fpti	dkti	fyti
biwacci	biyacci	biqzccl	biwafgi
gupirro	fupirro	gupkrgo	guklrfo
awoto	aworo	sdoto	adoro
lipim	lipam	limim	mipjm
niyewu	niyefu	niudeu	jijewy
guluk	gzluk	huluj	gumuh
genna	gennaf	renja	frnna
gubwolwu	gubsolwu	guhdolau	bubaolwu
abiculi	abicuai	aficylu	whiculi
apwonna	amwonna	apwinna	apwphna
nget	ngeh	nbet	nbeh
guywe	guywk	gkyww	guywr
yelli	yerli	yslll	yxlli
gupenynyo	gupenyuyo	gkpfnynyl	huoenyjyo
iwekko	xwekko	iwxnko	iwekuo
latet	latetl	lwter	oayft
omini	ominic	omino	ojinl
tidimo	tidnmo	thdkmo	toxijo
giyete	biyete	vkywte	gijwte
kokko	kokoo	okkko	kljmo
olege	elege	olebe	iiegr
nolo	nolc	nolm	nkio
kinguku	kingumu	kingkkn	uomguku
okutto	okujto	kkktyo	ooutgi
lakwong	lakgong	kaksonn	lajwogg
giyike	giyikg	giylkc	gibine
dongge	donage	covgge	dogvgf
maicoyo	maicoyob	mwidoyi	maixoyi
titte	tiute	tirtf	yitge
gucwalo	gzcwalo	gjcwalk	gkcwalk
cipein	cipeix	ckpzin	xkpwin
oyecco	oydcco	oywvci	iyecci
agak	fgak	wgwk	agqk
matkidi	matkifi	matiidj	matkldu
mabeddo	mabeddf	jabedcp	mabeddo
oyenynyo	myenynyo	myenybyo	otejyngo
yakobo	yakobol	ysmlbo	yakonl
akonywu	xkonywu	wkonhsu	aionysu
acwkida	acwkiba	zcqiida	qcwkifz
maraco-gu	marabo-gu	maraco-gt	mxrzco-tu
gikwera	gikwerap	gukdera	gikwdra
luggo	luggoh	huggo	luggo
wawiro	wawpro	aasido	sawieo
oywaane	oywaaneq	phwzane	pjwaxne
chili	chilz	fhili	sholi
bilokke	bilakke	gilomks	hiloime
gicen	giwen	gkcen	glcei
aci	awi	acj	svi
ajaa	ajaac	ajxx	xjxa
yenyo	yenyc	jfnyo	ysgyo
olonyo	olonao	klonyo	opinyl
beka	bekaq	grka	gekx
tyetgi	tyelgi	ryetgl	tyvtgi
eciko	zciko	ecijo	fcumo
gibayo	gibzyo	gicwyo	gibsyo
cen	cenx	crn	cfn
askarine	askarinr	xxkzrine	asksribf
layom	layomw	mayoh	latin
gumuko	gymuko	humkmo	vumuko
latekke	latekee	latemjf	lxtekpe
wakel	wakxl	qakwl	wqjel
ginyomme	ginyommd	gonylkme	ginyokmc
legana	lelana	legsba	ldgwna
waore	waire	waure	wzorr
gec	gbc	gsc	gfc
gumatti	gumattie	gumshri	gukattl
gleam	yleam	gneam	hleah
edoŋo	eddŋo	edpŋo	edkŋk
rue	ruej	ruf	rke
arumo	arymo	qruno	agkmo
onyee	onree	ohywe	inyfe
nyanne	nyande	iyxnne	nyznne
jim	jimq	uim	jum
lumakedonia	lumakedonya	lumajedonjq	lhmakecojla
oremowa	orfmowa	orsmowz	ofehkwa
bodaboda	bofaboda	bidahoda	bodwbodw
walle	halle	wqllr	walpc
ocaŋe	qcaŋe	idaŋe	pcaŋe
cunggo	cupggo	chgggp	cynggm
mukenne	mikenne	mukenhv	mulrnne
lumabuc	lumxbuc	pumdbuc	lumahuc
inyimwa	inyvmwa	lbyinwa	uhyimwa
gitwommo	gittommo	gitaokmp	fitwjmmo
gikayo	gikayo	ginsho	gknayo
atemo	atemoi	atsno	atemk
luwotti	lmwotti	lizotti	luwogto
gujany	gueany	gyuwny	guiany
yetto	yettv	tetho	yetgk
odwoggecen	odwofgecen	idwoggfcrn	oxwoggecfg
amam	amai	amqn	ajam
apadda	apakda	cpaddx	zpqvda
wukony	wukoay	wkklny	wuolny
obwoo	orwoo	pnwoo	ogwko
walwoŋo	wamwoŋo	walwoŋu	wslwkŋo
yeene	yeenn	yefns	teege
otam	otkm	otxj	otah
maarra	moarra	jsarra	maares
ogerro	ogerro	ogeetl	overdl
iket	ikxt	iket	ikqt
mayom	zayom	mwyoh	tayoh
gadi	gbdi	gask	raxi
gangi	gangq	gwnvi	gango
bipwonyo	bipwonyof	bllwpnyo	blpwpnuo
akwarra	akwarrap	akwards	aowzfra
wugwok	lugwok	sigwok	qigwoi
baarro	bamrro	gaxrto	bsqrgo
aŋoŋ	aŋoŋp	aŋoŋ	aŋlŋ
minicita	minicitan	jigicuta	minicuyz
odollo	odzllo	pdoplp	pdomio
ocerowa	ocarowa	icerlwa	ocerowa
bilanynyogi	bilanenyogi	bikanygyogo	bylanyuyogi
acil	dcil	acjp	scil
festo	fbsto	fsstp	fswto
pottiwu	poqtiwu	portiwj	pkyhiwu
latinni	lazinni	latinto	lagjnni
oninno	onwnno	lnihho	obijnk
ododo	odfdo	owldo	orodk
roma	romau	gomx	rpma
portunato	portunito	porgunato	porgunzto
idi	idig	iwi	idi
talo	talox	gqlo	talo
tero	tera	tedo	teto
samuel	slmuel	sakuel	camiel
olaŋ	olrŋ	oiaŋ	opaŋ
bitogi	bitogic	birkgi	bitohi
geŋe	gece	grŋw	gdŋe
tuura	tuurk	tkurw	tuirw
ennu	ernu	enmh	enmh
gucak	gucakd	ghcam	rucak
atatattas	atatattasi	atqtxrtas	atatzthss
wajuke	tajuke	wwjyks	aajukr
ile	ilb	ilf	ils
alwak	axwak	alqxk	xoqak
kendela	kendelu	kgnsela	oendeia
mil	sil	jil	mjl
bkido	bkidl	bkjwo	rkkdo
tammi	trmmi	rahmi	txhmu
tugge	vugge	tjgye	gugfe
bipoko	bipogo	bipmoo	bikilo
pongge	pqngge	puggge	ponmgd
luditowu	luditqwu	khdiyowu	kusitowu
bicuŋ	bicue	bickŋ	bidkŋ
mulwoŋowa	mulwoŋoza	muisoŋoea	mjoaoŋowa
lule	luqe	muie	luld
pat	fat	pzt	par
atum	ttum	atyk	atuj
lameego	lateego	lsmeego	lqmergo
okulat	ojulat	nkklat	ohulat
kwot	khot	owkt	lwot
lamabucce	lamasucce	pamabufde	lahabucce
nuggo	nufgo	nhgbo	nujfo
kicikani	kicikwni	kidoiani	jlcikani
gunno	gmnno	gugno	gkjno
timme-ni	tibme-ni	timje-nl	timnf-no
gabument	gabutent	gafumenv	tafument
twerre	tberre	twwdge	twerrd
lyakke	lyapke	lywjke	lfakke
nano	nanoi	jabo	nank
giyeŋo	giyeŋoa	ruywŋo	giyeŋi
waworo	wawori	qaeofo	wxdoro
gitimmi	gitimmj	gifimju	gitlhmi
manok	mrnok	manlk	mamok
bola	brla	bilw	bila
rag	ragk	rxg	rqg
cwinyo	cwinyc	xwljyo	cwijjo
jwet	jwev	jwee	jwst
acergi	acergb	wverni	acewgi
onnuji	xnnuji	omnuhj	knhuji
cobone-ni	cobong-ni	xobone-hi	coglne-nu
mujemo	wujemo	mkbemo	mukeml
teereteere	teeretqere	teetfgeere	fefrfteere
mabit	mavit	uabit	habih
ayubba	ayubfa	agubbz	syubbx
wubidokka	wubidokkb	wkbidokmz	wubudluka
diniwa	diniwa	dkmisa	dinkwa
gibiloro	gibilolo	gitoloro	giniooro
gipe	gipef	vipw	gype
gucoyo	gucoyo	gyaoyo	guciyl
oero	oerou	leri	owfo
inen	ifen	imdn	indb
waadi	waaai	wqadu	wqasl
twodde	tzodde	hwodfw	feodde
murangane	mjrangane	mudamgzne	murangwnw
layi	layii	lwgi	kayi
waarre	waarze	waarrw	wazree
gipurro	gipurdo	gipkgrk	gikhrrp
otwinyo	otwinyd	pywigyo	otdinyu
ocee	ocea	pcef	ofer
guci	guoi	gkci	nkci
jayo	jaho	ixyo	yzyo
cero	sero	sedo	cero
gigic	gigicy	nlgic	gigof
nyogge	nrogge	nyofrr	nhoggr
macek	gacek	jxcek	madeu
nyikke	nbikke	hjikke	nhikme
doti	dotio	vkti	dotm
otere	onere	otdte	otees
guomo	guomoy	gupno	giomk
atammo	atammn	agakmk	ataymo
ogwaa	ogwja	ohwaq	ogwea
okemo	okfmo	okfmp	okemo
tinge	tmnge	tinge	dlnge
locco	aocco	lpcci	oocco
waciyubbi	wrciyubbi	wxciyubbi	wwviyubbo
gucwalogi	oucwalogi	gucaalobi	gucealogk
gitoŋo	gitoŋo	gotoŋj	gitlŋo
jokon	jopon	yokoj	jpkot
mulokke	mulokke	kullkke	munokne
mon	gon	min	mob
ginywalli	ginywaeli	gingwalli	ginyqwlli
gigamo	gigqmo	glhamo	tjgami
cengege	cengeee	cdnfegf	vengenf
guurro	gvurro	biurrp	guudro
gob	gfb	gkb	glh
obwollaguti	ovwollaguti	pbwkllaguri	obwoplagjtj
lacwe-agulu	lacle-agulu	pacwe-agumy	uacwe-qgylu
adadaneni	adadansni	aracabeni	adafaneno
jaar	jrar	jaqe	jxar
kombeddi	kombegdi	komhedcl	lombedsi
raa	rai	faa	raa
onyaro	onyarj	onhxrk	knyaro
ngii	ngki	ngki	ygii
citti	cieti	cutgi	citti
gumi	guii	gumk	gumo
odiyi	opiyi	odjyj	odlgi
jeputa	jeputo	jeputz	jrkuga
gicwallo	gicwrllo	ticaqllo	gixwxilo
rweny	rseny	rwenf	rwenu
giene	gieny	gldne	gownd
nino-nu	nsno-nu	nijo-ny	gkno-nu
awacciwu	awanciwu	awaccjei	awaccowu
ainea	ainei	aunwa	ainfz
wucigwet	wucigdet	wudigddt	wucigwdu
giŋeyo	gineyo	yiŋryo	hjŋsyo
barakia	bvrakia	bafakuq	bxrajia
kulune	kuluneq	kuluus	julute
kony	xony	koyy	kpnu
tyelo	tyelh	tyeki	tgdlo
awar	bwar	adad	zwqr
guparo	gupato	gulsrl	gyparj
guculo	juculo	buculm	huculo
tutuno	tutunox	ghtunl	tuthmo
jeituni	jeitunio	jfigini	mwituni
myerone	uyerone	jyfrone	myegknr
rail	rwil	rauk	raim
kwene	kweve	kwwne	kaenr
guwac	suwac	huqac	gjsac
okobo	okobl	olibo	olovo
tiyoneni	tiyoneri	yiyonehi	tiyknrhi
titio	titqo	fitlo	fitlo
iwor	iwori	iwor	iwlr
kwonne	kwonnt	kainje	mslnne
ceggo	ceggv	crfgo	xeygk
aryeba	aryebae	aryehs	qryebq
gonyowa	gonyowag	yogyowz	finyowa
joo	joop	jlo	hoo
kwenana	kwenanam	neenanz	kwdnata
latin-romo	latin-roho	lstun-roho	latig-tomk
makwo	makjo	makro	makwo
bwola	bwwla	bwola	bsola
biny	binr	nimy	hiny
amare	amjre	qmate	amsee
kany	kanl	uwny	kamj
deyo-ni	deyo-nd	deyo-nm	deyi-bk
mumiya	uumiya	numiye	numuyx
abeda	abwda	sbedx	abeww
talle	talse	raloe	yallf
gidworo	gadworo	goxwlro	gidaofo
okelliwa	okulliwa	kueoliwa	okeliuaa
woko]	woko]a	wokk]	sooo]
apaya	acaya	apxya	apqta
walimo	waoimo	waljkk	saiimo
ogeer	ogelr	oterr	pgefr
alami	alamh	amzmi	amako
omeru	omegu	omwrk	imeru
yee	kee	uee	yef
bidok	bidkk	bhdok	bidoo
niyeni	ndyeni	nitemu	nitenp
gikwanowu	gikwanlwu	yikxanowu	gikeagowu
tuur	tuurq	tjut	tyur
bwomgi	bwomga	bwohgk	baomgi
oywelo	oygelo	orselo	ofwdlo
guwacci	auwacci	guwacdo	fuwasci
abipo	abipo	abipo	svipo
gibibedo	gibibcdo	gibivsdo	rigubedo
enoka	enokae	enlka	rnona
iroc	iroce	irlx	irox
tatnk	tatnm	twtgk	yatbm
ŋokke	ŋokkp	ŋokue	ŋkkkd
atin	atjn	atln	ayjn
wugeŋŋe	qugeŋŋe	wyveŋŋe	wugrŋŋe
okubbe	okubbe	ouuhve	omhbbe
oteggo	iteggo	ktwngo	ltwgho
watiti	watiwi	wzglti	wwtihi
ngwee	ngweo	mgwed	hfaee
lacadenni	lacadennii	lacadftni	laxsdenni
gibidoko	dibidoko	gkbodoko	hibidooo
tiku	tnku	fkku	tkkj
twerone	twerond	tdvrone	twegone
wunyutta	wunyutta	qujyutha	wunyuftq
aweki	awnki	aqeli	aewii
gwele	gjele	gweow	hwflr
leb-gu	heb-gu	ldb-gu	meb-gu
ewok	ewhk	ewok	ewpk
gutugo	guyugo	gytuyo	tutugj
matut	matut	matut	mahuy
gitite	gitiwe	ylrite	gjtird
gibimaro	gibimarof	ginijark	givikark
omuŋo	omgŋo	pjuŋo	onuŋo
imokko	imokkh	imouoo	inokjo
apwoyogi	apwoyoei	wpwotofi	zlwoyogl
otuk	otuf	ltyk	ptjk
ollowa	ollowau	klljwa	lkloea
nyono	nyonox	ntoho	jyojo
kiniga	kinipa	kihiga	kiuiya
kum	kzm	kuk	kuh
gwelle	gwelje	gweoof	nwellg
akayo	jkayo	akxjo	amauo
ibino	ibimo	ibjnp	kbljo
gurume	gurgme	gurkye	hurume
twone	twoce	twohf	gwoje
rwang	wwang	rwang	fdqng
gaŋa	gaja	eaŋa	gaŋa
rukkone	rukeone	rukkond	rujkonf
gikwo	gokwo	gikwo	yikqk
kiwoggi	kiwougi	luwoggk	kisogbi
aditi	aditiv	qditi	awiyu
gerro	gerry	ffrro	gwvro
bityekogi	bityekogi	botydjogi	bjtyekpgi
ledde	dedde	lsfde	ledvr
luŋolo	luŋole	ljŋolp	muŋoko
biniaŋ	bhniaŋ	niniaŋ	bonoaŋ
gug	gug	yug	jug
gimaro	gimyro	yumago	gomqeo
banyani	banysni	gwnjani	bagfani
gicwalo	gicwhlo	gicswlo	gicwaok
ginarukagi	ginarjkagi	glnarukaci	ginxrhkqgi
agulo	agxlo	wvulo	sgumo
kwarogi	kwacogi	kwarkgo	mearoyi
ijuur	ijuurw	ijkud	ijuuf
lakit	lckit	laljt	lamif
ŋano	gano	ŋqnl	ŋano
canwa	zanwa	cajwq	cagda
gibikwero	gibrkwero	gigikwedl	fibikwerp
mewu	mevu	mequ	mswy
nange	nangem	jznge	nagyr
icako	icapo	icakl	ifqki
amuli	nmuli	amulk	akulj
tyenggo	tybnggo	tyenrdo	tywngvl
ruc	ruca	ryc	euc
gicer	giger	glcfr	tjcet
marre	marrel	karrw	harge
ikelo-ni	ikelq-ni	imell-ni	ikelp-hi
Ŋat	Ŋnt	Ŋag	Ŋah
pinngoo	pinngos	iihngoo	pinnfoo
magipitto	magipieto	maglpituo	magiojttk
muket	quket	muiwt	mkkee
hog	hop	hig	hpg
kare	care	kagr	iade
kot	kotn	jot	klt
likiŋ	likij	likiŋ	limjŋ
gijwat	gijwht	tjjwst	tkjeat
mucweye	mhcweye	mhcweyw	mucqdje
cukko	cukxo	vuoko	cunkp
icuŋ	dcuŋ	jcuŋ	ucuŋ
tyang	tyano	tywjg	yjang
gibikok	gibmkok	ginlkom	gigikpo
laput	laputw	lxlut	kapjf
kincekke	kincekkg	khnceike	llncekkr
gicubbo	gicubbo	gidugbp	yicubfi
miŋmiŋ	miŋziŋ	hiŋjiŋ	miŋmiŋ
gille	gible	gulls	hllle
gucob	eucob	gkckb	buvib
latunge	latupge	patyjge	latughe
tiŋe	tiŋey	yiŋs	ykŋe
lapit	lapii	lapjf	laoit
beor	bpor	vekr	vepr
cullu	culdu	culih	syllu
amyela	amyema	amgepz	ahjrla
ecau	kcau	efay	ecxu
kano	kino	jank	jsno
ikommi	ioommi	iuommi	lkohni
biywaye	uiywaye	boydayr	biywsyd
wumako	wumakn	wynakk	wumzno
cutini	citini	curuhi	cutinj
gabuna	gmbuna	gabkka	navuna
cwero	cwzro	dweri	awfro
nia	niaw	nis	hoa
amedda	ameddaz	anevdw	smerda
lagaa	dagaa	lagad	lwrsa
mune	munk	munr	muje
bileyo-nu	bileyo-nuu	nileyk-gu	bjlego-nj
gimeddo	gieeddo	gkmedfk	rlmedfo
abic	abnc	zfic	agkc
itinggo	itznggo	iyingbl	itinbgi
bil	eil	bkl	bll
oribbe	oribbed	ogidbe	oeibfr
solomon	solomwn	spponon	solpmin
ioyo	soyo	uoyl	lkyo
obis	oxis	ibie	obiq
potone	pitone	lltlne	pkrone
gwaa	gwaak	gaas	gdza
awilla	awilla	zsilla	awimla
akelli	akellu	slelpi	wkdlll
aloyo	axoyo	apiyo	skouo
nairobi	iairobi	nairogn	bairohl
gibimedo	gibimeao	gibihefo	gkbihero
doll	boll	dopm	dlll
gull	qull	hull	gyol
kicel	dicel	mlcel	iidrl
marom	maeom	matim	jarlm
gonyowu	gozyowu	gonhpqu	gonyiwy
luparicayo	luparicaya	luparkcatk	luoqriczyo
wagero	wagerv	aagsri	wzgefp
gilwongi	gildongi	gmlwingi	guleongk
gitum	gilum	nitkm	gihuh
twenynyo	twenywyo	gwrnhnyo	hwenymjo
gikellogi	gikellogr	yikrllogu	giodilogi
oŋeyogi	oŋeyogif	oŋryogl	oŋehlgk
makaa	makaaz	majqa	mwkaa
onurowu	onurowd	onitiwu	ojhrowu
wunyutte	wuuyutte	wunybtte	wubyuhfe
ilworro	ilworrob	olworro	llworro
cagge	cagga	cagge	csgye
kabacic	eabacic	kabzsjc	kwbsciv
wubwolle	wubzolle	whbwmlle	wivwoile
gugil	gugol	guhul	gugll
gurummo	gwrummo	guruknp	gnrumko
komkerri	komkerria	ipmkrrri	kimksrro
cido	cidoj	eido	dieo
dwalle	dwaple	dwwild	dwzple
gupwodogi	gupzodogi	gukwodoji	tyowodogi
wiic	wric	wiuv	eiic
jang	iang	jznh	jamb
kricito	knicito	lrisiro	keiciho
odde	odje	oqde	ldwe
reggone	repgone	rvgtone	eeggkne
bonggigi	longgigi	bkngtigk	bomgtigi
ŋwec	ŋwech	ŋwec	ŋwfc
gamme	garme	damme	yakne
nyaane	nyaanf	ngwanf	hyaand
tudde	tfdde	tudds	yudes
gulwoŋo	gurwoŋo	gukwoŋo	gulwoŋp
rwoda	rwcda	gqoda	fqods
lupoya	lupnya	lupoea	oupogx
onywakko	onywakxo	onjzakko	inuwauko
giceno	ficeno	ricdnk	guveno
obikonywu	obikonywp	obikkjyqu	obikonhwn
leela	jeela	lerlz	oevla
mel	pel	mwl	mdl
odig	odigc	ldib	odug
gunoŋ	guyoŋ	vuboŋ	gjmoŋ
biamwonyi	biamwonyir	biamwohni	biahwongi
yutte	yptte	yutde	nutye
yege	ygge	yerd	yete
guketo	guketu	fumego	njketi
ginne	gidne	glmne	gibna
biradde	diradde	birqddq	virwxde
puggo	puggr	pjgho	lutgo
lakayo	lckayo	lqnayp	lwkajo
adria	admia	adrow	sctia
gukwere	iukwere	gujwete	gukseee
calume	cllume	calyme	czlumf
cello	mello	delll	cdllp
anyobanyoba	anyobadyoba	atyobanyobx	snyobxnyoha
cok	hok	clk	coo
onoŋe	enoŋe	knoŋe	jnlŋe
mateggo	categgo	nategmo	mstengo
akwila	akbila	xuwjla	aodila
opiiwu	opiiwa	okuiwu	lpiiqy
yer	yerq	ydr	her
gipiny	gipizy	hnpiny	hopijy
ittmo	ittwo	jttmp	ittjo
okwe	okwew	onwf	lmwe
lwoŋe	pwoŋe	ldoŋe	lwoŋq
bicakko	bicakvo	bisakoo	bncamko
gibia	mibia	gihoa	nkhia
onen	onec	onrh	omdn
gibilibowu	zibilibowu	glbiiibpwu	gkbilihpwu
paga	paga	paga	paga
genwa	genga	nensa	gdnww
gicuko	gicnko	gkcikk	tocyko
boŋowu	boŋowuz	bpŋiwh	niŋpwu
ibikwera	fbikwera	lbiiqera	ibikwsga
mitiwu	mitiou	kitisy	kitlwi
acwee	bcwee	acwee	acese
wukuro-ni	wukbro-ni	wukurk-gi	qhkuro-nj
panno	sanno	pabnp	pwnbk
puddi	pudda	kuddo	pifsi
acuurre	acuurae	sfuutre	acuurre
gibucco	gibuceo	yibhcci	ginucco
gigwerro	gigwearo	gigeergl	givwergo
bello	bjllo	hemlo	bslll
rwode	rwodeo	rwpxe	relde
gukano	gskano	nkkano	gkkani
icikwan	icikwan	ickkwxg	ixijwan
etimme	etimmz	ehomke	ftimke
lokgi-ni	hokgi-ni	loigi-hi	lokgi-ni
twerogi	twerogiz	tsedoti	twerjvi
dyerre	dyerke	dyerrw	djerre
terro	terroz	terdp	tegep
gwenone	gwenoae	gswnoje	gwvnine
kwak	khak	kway	kwqn
koŋo	noŋo	loŋo	koŋo
golo	golc	golk	gilp
pe-ni	pe-pi	le-hi	ke-jk
ocoyo-coyo	oqoyo-coyo	oclyl-cogo	lcoyo-coyp
ŋetgi	ŋetvi	ŋetgj	ŋeggi
gibokko	qibokko	ginokjk	gibokko
jakko	jekko	kakki	jskki
itim	ptim	itnm	itij
aleya	aleyau	xlfya	alegw
wabimine	wabimini	wabikint	wahimobe
canne-ni	canle-ni	csnme-mi	sanne-ni
gidoti	gidotin	nidohj	hiditl
wagiku	wagikq	wwgiky	wafinu
gitenyo	giuenyo	gitegyj	gitrhyo
imiine	imiinu	unikne	ikiije
binjali	bintali	bunjaok	bimjalj
bodde	boddez	nowde	bodde
oddine	zddine	kdvune	oddinw
wunen	wrnen	wubeg	wujsn
colle	collf	cojle	comlr
layub	laypb	oayib	lquub
waat	waah	awat	qzat
guriŋo	gwriŋo	hueoŋo	gyriŋi
gurye	gurya	gurhs	hurye
lakele	sakele	mauele	laoepe
watimo	watibo	wafimi	wqtomo
amoti	amxti	amlti	smkti
gurre	gurke	vkrre	tyrre
acuur	acuuc	asuue	acujr
reca	rxca	texa	reca
lubbo	lgbbo	ljbbo	kjbbo
ikwiny	ikwwny	jmwlny	ikwlby
pacce	oacce	pavde	lacse
anyutti	anyutzi	anykhri	anyjtyi
lamat	wamat	kamah	lshst
nngoo	negoo	nhhoo	gbgko
giŋweco	giŋwemo	giŋdeeo	guŋwecl
amwoca	amwopa	qnwova	zmwoca
ori	oru	orl	ogi
yullu	yulfu	nullu	yulll
ladikke	lahikke	pacikke	lacjkkw
gigenggo	giganggo	gigenryk	gibenygi
ocone	octne	oxohe	ocime
lakkii	laklii	lsukik	iqmkii
piwa	piaa	okwa	oiaa
wangue	wangup	wqnvuw	qangue
muikwoŋo	muikwoŋo	mjumwoŋo	muikslŋo
abimedde	abimbdde	wbkhedde	abkmedrd
yab	mab	yah	hab
obwologi-ni	obwrlogi-ni	khwolpgi-ni	obeologj-nu
botte	botte	bkthe	bogye
gulir	gulzr	gupif	nulor
bipoto	bipsto	bkolto	bopoto
gibicoro	gfbicoro	gubifork	yibickrl
abilig	abelig	dbilig	xbilkg
wulone	dulone	sulomf	wkionr
gukke	gukket	gujkd	gukme
aber	qber	avet	zber
ooro	oorf	poto	ilro
abicwalo	qbicwalo	wbicsaio	ahigwalo
genecaret	genebaret	gfmecatet	genecaret
okwane	okwape	omwwbe	okzanf
moc	moo	hoc	joc
gigwokkongi	gigwokkongx	glgwokkonhi	gigaokkojgi
nenone	ntnone	nwjoge	ndnone
atuna	atuns	auuna	atuma
gibiryeme	gibirpeme	niboryene	gibifusme
korban	korbad	lkrbab	kosbag
latit-lok	latit-loku	latit-lpu	lxtot-kok
oebino	oeyino	odgigo	iebimo
laromo	lwromo	kasomo	iaroml
manna	mznna	nanma	mannz
opoko-yok	ogoko-yok	opoko-yok	ppolo-yok
cur	cug	vur	dur
cot	cob	dot	cig
odoone	mdoone	idlohe	odolbe
olugge	olutge	imugfe	olggge
donggi	donygi	dkngvo	donrbj
ilutto	ilutto	jlgtto	ilktto
opunynye	opunynee	opuhunye	okunynys
meego	meebo	meeco	meenl
weyo	teyo	qeyp	weyk
luworo	luworom	muaoro	lkwono
okwong	xkwong	okakjg	kkwpjg
gigii	ginii	rogii	cigii
kompwuta	kompwuua	klmkwuha	oompwutx
otto	utto	otfi	otto
omeruni	omrruni	oheruni	ojerjgi
gipoto	gipouo	gioohl	hipiti
oteerri	otwerri	otewrdl	ogeerfi
enoba	enrba	fhoba	ejkba
omwono	dmwono	omapno	omwoni
opyee	onyee	opgde	kkyee
gutimwu	gutimwu	gitijau	gufimdu
ngotte	ngotteo	ngitfw	hgkttf
wunene	wuwene	synebe	wjnwne
polo]	poxo]	uolo]	pooo]
gituuro	gieuuro	gituugo	fjtuhro
abiŋuli	abiŋuliy	sbiŋull	aviŋili
ominwa	ominway	kminwa	ohinwa
gutgi	gutgih	nuhgi	guyri
conynya	conysya	cimtnya	cobynyw
ruko	rgko	duuo	rhio
lawoti-nu	zawoti-nu	oaaoti-nu	lwwlti-nu
mitgi	mitgii	mjfgi	mijhi
konyowu	kfnyowu	kojypwy	iknyoau
lubaŋa-wa	lubqŋa-wa	lubaŋa-sw	pybwŋa-wa
gibititti	gibipitti	bibytitti	nibitittj
ceer	ceerg	cesr	vedr
anyetta	anzetta	anjetta	qhyerta
lamiŋ	famiŋ	lajkŋ	lamkŋ
kricitone	kricitoke	kricitknd	kriditone
idonyo	ihonyo	hdojyo	icljyo
muporre	mupoare	mtporrd	muplrrf
twatwa	twatww	ywafaa	twaswa
wunyebogi	wfnyebogi	wunyebogo	wumyevogo
ioro	iorh	ikrp	ikrl
nwoo	hwoo	gwoo	nwoo
gutimo	gutibo	fjtiml	guyiko
bao	baoj	vao	bzo
wuweko	wuwxko	wuweuo	wuwrjo
aborone	aboronl	xborpbe	ahotone
wutem	wutemw	wjtek	eufem
lupwonnyena	lupoonnyena	lupeonnhdna	lupwonbyfna
yabo	yabg	yzbp	hqbo
ororo	aroro	oriri	oeoro
odd	ddd	odf	ode
iak	xak	jak	iai
okobowa	okbbowa	ilobpwa	kkkboea
kurrone	kurrane	kygrome	kjrrihe
luker-gu	luker-gs	luged-gu	lukfr-gj
