khuwakho	khuwarho	uhuwakhj	khuaalho
ayokesela	ayikesela	ayokesrpz	ayokwswla
yiitsa	fiitsa	yoitsa	yiltsa
kukukhabola	kukukhmbola	ukkukhabolx	jumukhqbopa
siibula	sifbula	siibuma	silbupa
bamaamba	bumaamba	bamasnba	hamaajba
yisaaya	yisjaya	yidawga	gisqaya
kwamakho	mwamakho	kewmakuo	iwakakuo
abona	abtna	qbonq	abijq
shakaanisa	shlkaanisa	xhakxaniwa	zhakaahisz
bibyaama	bibyhama	bigysama	fibyaama
babelama	babblama	hqbelana	hwbelama
aliwonesebwa	alhwonesebwa	alkwlmesebea	aliwkjssegwa
balibowa	baliiowa	nzlibowx	baligowx
umubi	umubii	uhubk	uhibi
akhwokesanisila	awhwokesanisila	qkjwkkeaaniqila	aihwolrsqnisila
umuseetsayo	uruseetsayo	umuaeersayo	umyseetwqyi
bubowe	bubowep	bubode	bhnowe
n'indiniinisibwa	n'induniinisibwa	h'inxiniknisivww	n'ihriniinusobwq
n'ikhukana	njikhukana	g'ukhukaba	n'ikhulana
imbwa	imbwv	mmbwa	ijbwz
nigeli	nigelz	nkgemi	ninepi
babayilibwa	babayilibwa	habahipibwa	bqbajilibwa
luheburaniya	luhebhraniya	luhegkramiga	lihevjrzniya
imeeri	iueeri	ujeefi	imeehj
balilekha	oalilekha	balilekna	haljlekha
mushiilima	muohiilima	mksgiilika	kushiilima
khulila	ehulila	jhilila	khypipa
khumuwanayo	khuduwanayo	kghmuwahayo	lhkjuqanayo
mbo	mbc	mbl	mgp
herimesi	gerimesi	yerlmesk	heriksai
yoweli	yoweoi	yowdiu	ylwepi
bibyaleekelwa	bibydleekelwa	bjbyalrrkeiwa	boryaleenelwa
maani	zaani	mwagi	mxani
wabakanikhayo	wabakalikhayo	wagaianikmayp	qabakaniohayo
tsitsiindi	tsitsiindim	tsutsiondo	tslysiondi
n'ukhabukule	n'ukhabukuler	b'ukhabukios	n'yohabjkuoe
isiraeli	iseraeli	isiraeik	iairxdli
besaayilatsaka	besaayvlatsaka	beszayilatsaoa	bedaayilagsaka
makono	mfkono	mamogk	makonl
ukhakayaalila	ukhakayaaliia	ukhakayaakjpx	ukhakayaakila
khusaasila	khusaasiua	khkxaadila	khusazcilz
ne	nt	ne	nw
shandibeele	shandiieele	shandibeepe	cjandiceele
indimwinyusa	inhimwinyusa	indimwinjizq	khwimwinyusa
meetsa	heetsa	merbsa	mewtsq
ulomile	ulomileu	ulonikr	ulomilr
khukambila	khukambili	kyunambilx	khukamyila
khaalekho	khaalekhoi	khaqleihp	khasmwkho
ukitimisa	ujitimisa	ukitihisa	ykitimixa
ombekhelamo	ombekheeamo	ombdkhslako	ombwohrlamo
njeeba	nveeba	njesfs	fyeeba
khwibiyisa	khoibiyisa	ktwjbjyisa	lhwkbiuisa
wamalilisa	wamaliliha	wwmapilisq	wamaiilisa
warangilila	waranoilila	warwntilima	wsrannilika
khukhala	khukhalab	khukhakx	kbukgala
khumeela	nhumeela	khujsrla	kjujeela
bayilibwa	uayilibwa	bxyiiibwq	bagilibda
khukhwiwombesa	khukhwiwombesam	khjihwiwojgesa	knhkhdiwombesa
ukosa	uhosa	ykosx	ikiza
wamwikoontselela	wamwikoontseoela	wamwlioohtzemela	wamwiukontxepeia
bakutuumile	bakutuubile	nakuhukmile	bwkufuumile
yaredi	yaredv	yafrdl	yqrfci
shishituyisa	shisyituyisa	shkxhktuyksa	wuishigugisa
alifwiilwa	alifwiilea	alifwiklww	alivwiiiws
bireere	bireerd	fifeers	bkrrere
boosi	boosh	noisi	bioai
khulaangibwa	khulaanyibwa	khhlwangibwd	knylaambibwa
luleeyi	luleemi	luiefyi	lyleetj
khubasasula	khubauasula	khjbzsaskla	khkfasadhla
nekhoyela	nekhofela	ndkhiyrla	nwkhohela
kikibamala	kikybamala	kikibzmalx	kjnibamalx
uwapyeluukha	rwapyeluukha	uwqpytluukga	uwslyeouukna
isuukha	isuukhad	isuukhz	isyukha
betifage	bezifage	bftufave	betufsge
khukhumaamba	khukhumaafba	jhukyumawmbq	khukmumaajvz
uli	ubi	jli	uli
simwamaamba	simwamaamta	ximwajxamba	sinwamaxmfa
imulya	isulya	ijujya	uhulya
khubakaanisa	khubakaanisas	khubxkaznisx	umubakxaniaa
lyatsowakho	lyatsowakhoh	lyatsowakfp	lyatsosakjo
babwinjilamo	babwinjiuamo	bqgwiniimamo	babeonjilajp
byabusanisila	byadusanisila	gjabusanlsjla	bjabuzanisikz
n'awulamo	n'awubamo	h'awulaho	n'xaulamo
nio	nioz	nuo	jil
makyesi	hakyesi	makyeai	najyeci
bafilipi	bwfilipi	baripjpi	bafkliki
wakhulaangile	wakhulaandile	wxnhulaanvkle	wzihulaangioe
waborosa	waboroya	waborpqq	wabkdosa
shishiililanilewo	skishiililanilewo	sbiahoilolaniledo	shishoilllxnilewk
mukhuloombele	mukhuloombvle	mukhullomveiw	muknuloombwme
kukuundi	kukxundi	kjmuumdi	nukuundk
shalakala	scalakala	cuaiakala	chwlakalx
bashisilila	bashisclila	basnizilila	gashiqulipa
nabukula	nabjkula	nabhjulx	nabjkklx
bibyeewe	bebyeewe	bibyeese	bubhdewe
byoolile	byooliqe	fjookile	byooliog
khuurya	kpuurya	khuurrs	nhuuruw
mukhalibona	mukhalibono	mukhapibona	uukhaoibons
alekizanda	alekizamda	alrnkzanda	slekizanwa
nawonelewo	nawonelego	nawonrledp	nawonektwo
mutsya	mutsta	mutxga	mitshq
ashilomakho	ashmlomakho	ashiookamho	admilomalho
kyoombi	kysombi	iyommbi	oypombi
batiimba	batiimwa	batylmba	batjonba
tsitsimutsuntsumilisa	tsitsimutsuntsumilisa	tcotcimktsuhtsumulosa	rsitsimutsujtsujkmiez
kawulilikhaane	kawulilikhgane	ksqulilimnaane	kadklilikhaxnf
musheesatsaka	musheesatsaks	husgessahsaka	misheesagsqka
umusakhulu	umusakhulux	ujusakhllu	hmuxakhulu
lusaamba	lusaambar	luwaamba	iusaambq
kukulihesa	kukulihhsa	kikukiheza	nukhlihesx
khuusi	khuuss	kbjusk	nbuusi
khukhwiyiinga	khukhwiyiingaf	utukhsiyiinga	ktukhwiyiknba
akhwitsusa	akhwittusa	akhaitskca	zkhwotsuqa
umwesanwa	umwesanma	imqesagwa	hmweaanqa
wabonekhele	wabofekhele	wqbondmhele	wsgobekhele
liwumule	liwumuwe	liwkmuif	kieumhle
asi	ash	aci	asi
mukhakhoombakho	mukhakhwombakho	munhwkhlkmhakho	nukyakholkbakjo
kilifwana	kilifaana	kilifeaba	kllifwana
kimiboofu	kimiboogu	oimifokfu	kimkbkofu
utuume	utuume	ityumr	uruukf
nayikalusa	nayikalusx	nauokalusz	nqhikalusa
bibibamakho	bibibemakho	fibibamskhk	bobobamakhl
banaambo	banaammo	banwzmbp	gagaambl
muborokha	muboookha	muborikgs	mubirkkta
mukhakanikhatsaka	mukhakazikhatsaka	hukhakanokhadsaka	mkkjqkarikhatsakq
washimanya	tashimanya	waqhijanyw	swshlmanya
bukayi	bxkayi	fukxgi	buuati
injironela	imjironela	igmironela	lgjitonela
nakalukha	nakalrkha	gakaiukhs	nakzpukha
mwisiina	mwisiinam	mwisoinx	nwjdiina
khulaba	khulava	khuiaba	nhulafa
bikholebwa	bikhulebwa	nikhoiebws	hikhllebwa
lyooyo	lyooyob	iyopyi	kyooyk
khw'omwoyo	khwmomwoyo	kbw'kmwoyk	khw'kmaoyo
ukhakilisa	ukhakilisi	ukhamiloea	ukjakiiisa
bubwonaki	bukwonaki	bubwinxku	bubwonakn
bahela	bhhela	bahwja	bsheos
isiimila	isiimila	oqikmila	isimmlla
likobi	likobn	limpbk	iikobk
luwande	luwange	ihwande	oywanxe
warobola	warobowa	qxroboka	wafobola
mukhatiilakho	mukwatiilakho	muknaykilakhi	hukhatiolaihi
ubuula	ubuqla	ubugoa	ubuuhz
khubuyilisibwa	khublyilisibwa	inhbuyilisibww	khybuyiolcibwx
bawuna	bvwuna	bawybs	basuna
buŋaŋafu	buŋapafu	buŋaŋxdy	vuŋaŋafu
birye	bioye	nkrye	birye
shishaba	shishtba	sbisgabs	shishamz
mwangwarisa	mwangwarise	mwwngwafiwa	mwabgaarosz
imbakyeniyile	imbakyeniyili	jkbajyenuyile	umnakyenuyioe
lyamubisa	lyamubisao	myamiblsa	ltambbisa
sibanyala	sdbanyala	sibanywpz	sigamyxla
khubiloba	khubilobak	kgubiooba	kyubiloca
khubabonakho	khutabonakho	khkfagonamho	khugabpnzkgo
anywatsake	anywaasake	snywxtsake	anywatqzke
aloomba	aloombal	alookda	aloomna
khubikalusila	khubikalhsila	khubilzousilq	khjbikalucikz
afuure	afuube	aflkre	abuuhe
kimilaambo	kimilaamboc	kimilaqmbo	kimilwambk
keene	keeue	ieeme	oefbe
wakubowelela	wakuboweleld	walygoqelela	wakuvoqslela
beyaanga	beyaapga	betsangx	beyaanga
babetsiliile	babetsiliilek	gaveteikiile	fabersoliule
s'alikho	s'blikho	x'slikho	s'sliiho
watsoyile	wttsoyile	wetsotile	wataojime
babakhufunaana	babakhufunajna	bagakgufunwaha	bavskhueunaanx
wamulekha	wamulekhp	qamulemba	wsmulekhw
tsitsifukiilisibwa	tsitsifukiinisibwa	tsiydivukiiluskbwa	ysihsufukiilisibaa
babenjile	babenjcle	babeniioe	fabennils
lulwama	lulwamah	luldzja	kiowama
ashiilila	ashiililaw	ashlilils	asyoilima
bamusuta	bamusutap	bamysits	gamjsita
babaakana	brbaakana	bxbqakana	yabaaksna
amuruumbula	amufuumbula	amurnumhula	amurujhnula
bibikhalimo	bibqkhalimo	bigilhalimi	bubikualomo
sikhumanya	sikhumatya	sikkumanta	sknhumamya
kyaba	kyabah	kmaba	kyabz
mutsyamo	lutsyamo	kutsyami	mytdyamo
kamakali	kkmakali	lxmakaki	kamzlali
s'uromboosa	s'uromboosa	s'uronboosx	s'urogvoosz
muloombatsake	muloombajsake	muloobbatsqne	mullombztsqke
lyenywe	lyenywk	iydjywe	kgengwe
anaanga	anaangc	wmaangx	anaahga
bamukholowa	bamukholowc	bzmuknolosa	vajukhoiosa
kikiwaanibwayo	kikipaanibwayo	kikuwxanigwsyo	njkisaagibwayo
imbaawo	jmbaawo	ijbaaqo	kmbsawo
birama	birgma	bmrams	bjgama
yakhumulikhila	yavhumulikhila	yakbumuljjhilq	yakhumulklhilw
kumuleme	kumulzme	kimulfhe	kumuiele
byakangulukhaka	byakangulukhakx	byxosngupulhaka	byaoangulikmaka
khulwa	keulwa	mhulex	khulwz
khukhushebulilatsaka	khqkhushebulilatsaka	khukhushebulllatszka	khjknusbetulilatsaka
mwinjile	vwinjile	mwiguime	mwihjome
ikhulondelele	ikhulqndelele	ikmumondeleje	ikgilonseleie
mupyeluuse	mupweluuse	mupfelkuse	mopyeouuse
bwetubaasa	bwetubaesa	bweyufsasa	bwegubaxsa
khusitowa	khasitowa	kyusiyiwa	khusifowa
matati	matbti	matqhi	matahu
shisheyingakho	shisheyingabho	qhiaheyingakho	qmoshejingakhk
mwakoraana	mwfkoraana	hwakoraaha	meamoraama
mutsangilile	tutsangilile	mutqannolole	kutsangklnle
butale	bmtale	butapf	buralr
lyekyela	lyekygla	lyekydlw	mhelyela
boolelesa	booleleso	bollflesx	fooieiesa
wakholeele	wakhdleele	sakholeelq	wakholeepe
bakhasikha	bakhasivha	bakhxsiihq	bakhaskkhw
babakholewa	babakholewaw	bwbakyklewa	fabakholfqa
munondelele	munondelele	mhnondeowle	munomdekeis
mukhabaloondelelatsaka	mukhabaloondelelatsakj	mukhahalipndflelahsaka	muihaballondelelataakq
abonakho	abonqkho	aginskho	ahonaktp
mulimanya	muliuanya	mulimcgya	mupimxnya
n'ulyekho	n'ulynkho	n'ujyeiho	n'ypyrkho
bushe	bgshe	bhche	bjshw
warusakho	waeusakho	waruswibo	wadusqkho
bibimwikhoyesa	bibimwikhoyeso	bibimwinhkyeqw	bibymwkkhoyeda
khurakho	khurakhos	khyfakhp	mhuralhk
bamuwa	wamuwa	bzniwa	gamiwa
walomile	walmmile	wwpomilw	wamimile
kakatsutsukha	kakatsutsukhas	kakatsuhsunha	kwkatsjtsukha
iliba	ihiba	ilkva	kiiga
wiloosele	wilooskle	qlloowele	wiloosehf
imukoongo	omukoongo	lhukoongp	ihumkongo
woola	wzola	wkolx	dopla
forutunato	forutunaqo	foeutuvato	rorutunatk
mufune	zufune	jifunw	kufhhe
khwamulikhila	khwamuwikhila	kbsamuookhila	kjwamulikgllx
ilibonekhawo	olibonekhawo	ilibobdkbswo	uligonelhawo
bibyakholewa	bibyakholera	bibjaiholewa	bibywpholewx
khukholaka	khukholaya	khukhopaoa	jhukholakq
umurobole	umurebole	ukuribolr	ujurobomf
waha	wahn	waux	aahs
keetse	eeetse	newtse	keefsw
buuyu	buuyy	buitu	byiyi
baayikaana	baaygkaana	bxayiksxna	bzayikzana
mulekhe	muuekhe	jhiekhe	hklenhe
shalekha	shclekha	chalejna	shalwkna
mwikhumi	mwikhwmi	mwingjmi	bwukhumi
mwakanane	mwapanane	msakagage	jwxkanane
atsiinikha	atsiinisha	ateiinokha	arwiibikha
tsibaluwa	xsibaluwa	gskbaluwa	tsibaluas
wabarumanayo	wabarumanajo	aqbarymajayo	dabagumanayk
sibanyoowele	sibanyoowele	sinanhpowele	sibagyooweoe
n'anyoola	n'anyoolap	n'anyolls	b'snyoola
sibyanyala	sibyanyapa	sidyahyala	sibysnhala
namalilisile	namalolisile	nakalolkqile	namapimuslle
luwomelo	quwomelo	ljaonelo	muqomelo
liyindakana	liyinvakana	ligihdaksna	liyinwskaha
khukhulomela	kgukhulomela	obukhillmela	kgunhulomela
intsiyi	inmsiyi	inyqiui	ibtskyi
bibyarura	bieyarura	bibyaeuea	bibyaruea
selukiya	selukiym	swlhkiyz	qelulita
akanikhile	akanibhile	akwbiohile	ananikhimf
bya	cya	byq	bux
mukekyelise	mukekyelisee	mukekyemise	mukekyeliae
bamukhalila	bamukhaliua	bqmumhalils	bsmukuzlilw
banashisaayumba	banashisaaynmba	vxnsshizaayumna	banasbjsqahumba
baafuniaka	bacfuniaka	faafhniakx	bzafhniaka
khubuyila	khubuyily	khubuulla	khubnyjla
n'alomela	n'alomelt	n'aolmela	n'akomeia
iyaama	iykama	yyawma	kgwama
abashuusa	abashuuna	abashuysd	sbxshujsa
s'afwana	s'afwdna	s'qfwana	s'ztwana
kyatiimisiwile	kyatiimisimile	kywtlimisieild	ktatkimisiqile
bumenyo	bumenyu	fujengo	bukejyo
n'imba	n'imbe	n'imbz	n'pmba
n'ure	n'urn	n'yre	m'ird
arurawo	arurajo	aekrswo	admrawo
khunikina	khunikbna	ktugiuina	khunkkina
sheenesho	sheeneshv	sreeneshp	xherneshl
khukhaliwila	khukhaliwiha	oguihaliwima	khukhxlowoma
akhumanyisa	akhumanycsa	zmhumanyisx	xkhumantjda
n'akhole	n'akholu	m'anhoie	n'zlhold
khufila	khufina	ibufola	khufila
lyalomela	lyaloxela	igaoomela	lyqlomwla
lukhali	luknali	lunyalk	lukiali
n'amulomakho	z'amulomakho	n'amuoomzuuo	n'amumpnakhk
babawulilatsaka	zabawulilatsaka	babawumllxtsqia	bahwwylioatsaks
wekhisile	weihisile	egkhisile	aekuisile
sitakisi	sitakist	ditakusk	sjtxkiso
khukhuboola	khakhuboola	khuojuboila	khumhufoipa
ukhekoomba	ukhekoomra	uohfkoomba	ujhekoombs
kaliboolelwa	kaliboopelwa	oaligookekwa	kzkkbiolelwa
awoonga	awoongd	swoomga	awlkngw
khukhwikana	khukhzikana	khuohsjkana	khukbwiuana
umufukiilisi	imufukiilisi	umufjmiilisu	ukifukiillei
kwokhebwa	kwokhebqa	kwolywbwa	iwokhevwa
khumulekha	khumuleqha	kbkmilekha	ojumulekja
mwafukiililamo	mwafukiigilamo	mwatujiililalo	kwafukkimulamo
khulookha	khulaokha	khiloikhq	khuklouha
khukhurusakho	khukhuruhakho	kjukhkrudauho	knukhirusakyo
khulooselela	khulooseleka	kyulooselwpq	khukoiselela
mwihalabe	mwihalace	hwuhakabe	mwihamzhe
ukule	ukule	ukule	ukupe
khuwangasibwa	chuwangasibwa	khuxangasjnwa	nhjwangaslgwa
bawonesebwe	iawonesebwe	bqwonessbse	bawkgfsebqe
ukhaabone	ukhaabgne	ikjaabonr	kkbxabone
shilibowebwa	skilibowebwa	shiluboewbwz	sbilubowefwa
musoolanila	musoollnila	musoikajila	mucojmanila
shilibwa	shilibwz	shilobwa	shkljnwa
masaayilo	macaayilo	mawaayiko	maawayilo
khweloosela	khwelooslla	khweloosdkw	khwtiooseia
lwonyene	lwonyener	mwlhyene	pwonjenw
wokesanisile	wokesanisileb	wlkesanieimd	wokfsabieilf
abirerewo	ablrerewo	abjeerwwo	abirereao
kari	kjri	ksrl	mari
khukhuungwa	khukhkungwa	khukhujhgwq	ktukkjungwa
yakuunya	yakuunyi	hakuunya	yauuumja
s'alibwingilamo	s'alibwingilamo	x'alibejnvilwmo	s'akibdjngilano
bibikhembiyisibwakho	bibiuhembiyisibwakho	hibijhemdiyisibaajho	bihikhembitizobwzkgo
nazareesi	cazareesi	naxsdeesi	nqzaredsi
bibiilirusibwawo	bibiieirusibwawo	gobiolirysibsawo	bibiolirbsinwawo
amaambisa	amaambosa	wmsxmbisa	amaanfisa
ulileekela	uqileekela	ipileekema	ukileekela
khukhubawambile	khukhubawamdile	khukyufxwsmfile	ktukhunwdambkle
shishiwongebwayo	shishiwongedwayo	shishiwlngebdamo	shishkwoggfbwxyo
bamwikulilawo	bamwikulilawo	bamwikhiilqso	bamwokulilxco
wamubona	wamubofa	wamhgoha	wanybonz
shiloosele	shilorsele	smilllsele	ehilioseme
untsikaane	untsiksane	untaikaagw	intsjkaane
musoleeli	musjleeli	mkeoleeoi	hualleeli
tsifalaasi	tstfalaasi	tsifalaawk	tsufalaqsi
mubye	mubne	mubne	jufte
sinayakamisakho	sinayakamisakhol	sinayakzjuzamho	cinayamwkisakho
baraambilila	baraadbilila	bstwakbilila	barqambkljlq
khumukobosa	khrmukobosa	mhimukobowa	khumukkbmsa
baakhalila	baakhllila	vaakhalklq	baakbzlilz
w'oyo	w'oyou	w'kyl	w'oyo
watuuma	tatuuma	estuuka	watyjma
s'unyala	srunyala	e'lnyala	x'unyaia
simwasomakho	simwtsomakho	cimwasomskhi	simwzskmslho
akhaambe	akhyambe	ekhawmbe	aknaambe
ababoolele	ataboolele	avabiomele	zbaboolrle
mukhawatsakakho	muqhawatsakakho	mmkhadatsakakho	mkmgxwaysakakho
umulebe	umuhebe	jmyleve	kmulebe
imbakyeniyilakho	imbhkyeniyilakho	inbaiyenjuklakho	imbalyeniyiisoyo
akhwiyashile	akhwiyashilei	akhwjydsuile	skhekyashole
mwaramo	mwhramo	mqzrsmo	jwarxmk
n'umukanikhi	n'umukanikhi	n'umkkxgimhi	n'umjjajikhi
sayuuni	saymuni	wwyuugi	sayyujl
n'amulomela	n'amulomelah	g'amulomflw	m'amllimela
kakafukiilila	kakaxukiilila	kakafuniulilz	mwkaeukiililz
kya	kaa	oya	kha
iswala	isqala	iadalw	iwwxlq
khwafunile	kswafunile	uhwafumlle	lhwafinole
akubyeenga	akubyeengd	auubydrnga	akuhyesnna
umukhsai	umdkhsai	hmukhsao	uguohsai
likhoŋolo	likhoŋxlo	pokhoŋplo	likhoŋilo
biwaamba	biwxamba	blwsambq	viwaamhz
ndubi	nduli	ndugj	nfuhi
tsoombi	tsoozbi	fslombu	tskohvi
bamutwiikha	bamutwiikhe	bamuhsiikhq	bwmkfwiikha
bantsantsukha	bxntsantsukha	bwnysantzukba	bsntsahtsuoha
w'omuseetsa	w'omuseelsa	q'omuaeeysa	w'omjserhsz
shimbone	soimbone	sgimblhe	shlmblne
eyokesana	eyokesaka	eyolesxma	eyouwssna
mibili	mibilia	muhilj	mlbulo
bubweewe	bubwwewe	bubwdfws	fubwrewe
ushebulilatsaka	ushebulilatsakc	ushebulilatsakz	ushevulilarcaka
iyeewe	ijeewe	jyeewa	uyeeae
amutiililekho	amutiilibekho	amhtiimjlekyo	xmutiiiilemhk
shishifuurisakho	shishifburisakho	shishifuuvlsakhl	shjshifuurksakhk
walekha	warekha	dalgkha	wslekya
shishiŋaŋasa	shishiŋaŋjsa	whjchiŋaŋasa	shismiŋsŋzss
wabanyoola	wabanymola	wxbcnyoola	wavagyoola
kakawosawosa	kakawosawqsa	iakawosawosa	kakaemsawpsa
lifulo	lifdlo	ligkoo	oituli
akhubonela	arhubonela	akhuhkhela	akvybonela
shikhaba	suikhaba	qhikhafw	sbikbsba
ayile	ayilj	aiile	aylie
lw'omumiitsi	lw'omumiytsi	lw'okumiifsi	kw'omukiifsi
khubakyeniyila	khubakyeniyira	ohubakyehiyipq	nhubakugniyila
niitsile	niitsiled	niiyajle	niitsjle
akhekhalatsakakho	akhekhalatsakakhv	dkhskhslaysakakho	akurkhalatsakakji
babambulilisatsaka	babambulilisatstka	babanbulolksarsaow	babambylilisatsala
antsolise	qntsolise	anreolixe	antaoluse
mwitsililise	mwitsililisi	mwitsikjmisr	mwidejlilise
shalomewa	shflomewa	shamomdwa	shalomfwz
galatiya	galatiym	balatiys	gapahiyw
khwanakho	khwanakbo	ihwwnakhp	khwanwjho
sikhwonakisa	sqkhwonakisa	cukhwonwkisw	sikheoiakisa
khakhutsye	khakbutsye	kbqkhutsyf	khakhufdye
ilumya	ildmya	klkmya	ulujys
lulomo	ldlomo	muuomo	lyoomo
kakwa	kakwad	kakdx	lamwq
n'imela	n'imelu	m'imeps	n'umeoa
wamambakho	wamaabakho	wamwnbakgo	qajambakho
ibo	ieo	jbo	lbi
shayo	shaqo	etayo	shwjo
onakise	ohakise	knxklse	inaojse
ayiliwa	ayijiwa	ajikiwa	atkliea
mulimwiilamo	mulimwiilwmo	mulinsiioxmo	mblimwijlsmo
yikyelile	yikyelhle	yikgdlime	yikyelilf
ubireerekho	udireerekho	ufirdfrekho	ubireftekno
wandusilekho	wandupilekho	eanwuailekho	wangusilejbo
simulimbonakho	simulimbofakho	simulikvonakmp	similihbonqkjo
bwaana	biaana	nfaana	baazga
babaaana	babaatna	bajaaanw	babwaaba
imbareere	imbareerh	imbatfere	lmbatrere
akanikhakho	akanikhakhos	akanukgakho	akanonhaogo
babawayo	babawayo	babassyi	babawahp
shishisamo	shishisazo	syiqhisaml	shushiwaml
sibakana	sibaeana	sibakaha	sibajwna
shiliyeeta	shilipeeta	sjiliyrdta	sboliyeetx
shishimushinjilila	shzshimushinjilila	suisbimuxhinuipila	shishimhshinhilioa
shanikina	shanikina	qhaniolna	shwhinina
kutsye	khtsye	khhste	kjtsye
mwiyikinwa	mwiyikinja	mwiyokonqa	mqiyikujwa
umutaambi	uiutaambi	umitwahbi	umitaamgk
mukheyaanga	rukheyaanga	mukhdywqnga	kukheywanga
wasutile	wasutife	wssutilz	wasutile
kukwarusawo	kukwarusjwo	kukdarusawo	kumsaruszwi
kibawulila	kibawulina	kigasulika	kkbawuoilx
khukhwiwula	khukhwiwulk	jhknhwiwula	nhujnwiwuia
sinabona	singbona	qinabonc	sknabkna
mwakwaarire	mwakwaanire	mwalwaagirw	mwakwaathre
khumaleyo	khtmaleyo	ihumdleyo	khynakeyo
amwakananamo	amwakandnamo	amwaksnwnamo	amsakananami
nabisa	nabbsa	nzvlsa	nablwx
khweela	kiweela	lhwfeia	uhwedla
khulekha	khulekna	khkkrkha	khhlenna
balaanga	bayaanga	balsxhga	valasnha
tsaaya	tmaaya	rqqaya	fwaaga
nakori	nkkori	nakkgo	nakoei
bibyambaaso	bibytmbaaso	gibyanbzaso	fobyamnaaeo
n'abonatsaka	n'ubonatsaka	b'abonarsala	n'abojqtsakq
ikhwokese	ikhwokesel	ikhwomree	oojwokese
nalekhaanisile	naleihaanisile	nalekhaanlsmle	naoeohaanieilg
khuryo	khurbo	khkwyo	kbjryo
kimikaanda	kimikeanda	kimiusznda	kimiksxndq
khwe	khwf	khss	kuws
noole	noole	joold	goome
batimayo	batimavo	bztknayo	hatihago
shibawa	shibowa	shibxdz	qmibawa
khumuweentsa	khumuweantsa	khgmuseemtsa	ktymbweentsa
ikhukanikhile	ikhukanikhime	ikhuksnhuhile	ikhuiankuhile
indiira	iadiira	indinda	undijra
umwene	uzwene	hmwegr	umwejr
uliinda	uliindi	uliknds	hiiindx
wamuboolela	wamuboolela	dahunoolela	wamybooirlw
wabikyelisa	wabikielisa	wabikyrlisa	eahokyeliqa
khwayiyikina	khwayiyikini	kjwaylyikona	ugwayhyikina
mutoro	mutxro	mutkro	murodo
wabawa	wauawa	wahawa	wabsws
yatsowele	yatsnwele	yqtskwelw	tatsowwpe
muwa	muwq	mywq	kuwa
shakama	shakamv	shamaha	sjsmama
awulilaka	awulizaka	qwililqka	aaklilaka
babambaasa	bauambaasa	banambwaca	bavanbaasa
fwabeene	pwabeene	fqageene	fwabewke
engile	tngile	wnfilf	rngilf
bubweene	bubweent	bibwernw	bkbwerns
mwakawulila	mwakawuliza	mwaiawklula	mwskawjlola
ikhuwa	ikhuwaw	ijnuwa	oihuwa
uwonese	uwonesn	udpnsse	idoneee
kh'omuŋoosi	khwomuŋoosi	kh'ojuŋoosu	kh'oguŋolsu
ukhwokese	ukhwokeseo	uohwokwss	ukheikewe
n'awola	n'awcla	n'awpmx	j'awkla
nakhafwiiti	nakhafwizti	nakhwcwilti	makvafwiiti
basooleli	bajooleli	badioleki	bqsooleii
bukhumale	bukhumali	bukhkjaoe	bkkhuhalw
bakhabawambe	jakhabawambe	galhabawajbs	gakhsbawzmbe
mwikulu	myikulu	mdkkulu	ieikulu
babaasiinga	babajsiinga	babaasijngx	bsbaaqiinfz
mwilukhe	mwilukhei	mwilujhd	mqiluktd
ikhoole	pkhoole	okhjole	ikmikle
kakaweebwa	kakaweebwa	lzkawefbwa	kakaweebws
khumubuula	khulubuula	khymuhuuia	kyumkhuula
babakaanila	babakaanjla	babauxwnila	bqhajaanula
shishekoombisa	shishekoombisf	shishekoojbisx	shiahdkookbusa
ukhakibowa	ukhakibowaw	ukmaiigowa	ujhakihowa
nilwe	niewe	nolde	njlqd
bakhandisa	bakhandisaj	bxkhakdisa	bzjhandisa
byonakisibwa	byonakhsibwa	buogakisivsa	byobakiwinsa
shakalukhile	shakaluksile	xhakaiukhile	shakanunhilr
ukhakaanila	ukhakaanilaj	nkhakaxnila	uohakaznupa
khukhwoolelesa	khukhwoolxlesa	ujukhwooleoexa	khjuhwmolelssa
baliwulila	balilulila	baljwililx	baklaulila
amwiirire	amwiirird	qmwiidire	smwiiride
lilyareebwawo	lilyareebkawo	likyarrenwqwo	kilyareebqawp
khurangilila	khuranpilila	kyhtangillla	khurangkpipz
tsakwa	tsakwu	gaakwz	tsqkwq
bantsikhoyesa	bantrikhoyesa	bqntsikhotesa	banysikhkydaa
khulekelesebwa	khulekelesedwa	mhulekeldsfhwa	khjpekrleqegwa
mukharyatsaka	mukharyatsakt	mumbaryzhsaka	mukgaryxtsaks
nafunilemo	nafunilemi	nafjnikemi	nqfjnipemo
khashikholekhe	khashikholikhe	khasnokholekne	khashkmhpleohe
babikabile	babiyabile	fsbikanile	babkkabike
umubiikhi	umubifkhi	hkubiikgi	umybijlhi
khubikhalimo	khubikhabimo	jhubjuhaiimo	khublkhalmmk
bakwa	bakea	hakqa	bxkaz
khumuwamba	khumuwamba	jhumudambs	khumuswjba
isiina	iriina	isiinx	lcilna
kukukana	kukukjna	kukukzjx	nukikanz
mbaleekela	mbaleelela	mfapeekels	mbakeekela
kwamuwamba	kwaeuwamba	kwamywahbz	kwanuwamca
kwoosi	kwohsi	kwpozk	kwiozi
bakhola	bakholac	bakrolq	baihloa
shisheeso	khisheeso	smisheszo	suksgeeso
