n'atugamba	n'atugambay	n'atugshga	n'atigamba
nnaatyanga	nnaatynnga	nbwatyznga	nbaatyahgz
temwambuka	nemwambuka	fehdambuka	temwambuma
eky'omuti	eky'omutf	ruy'onuti	rky'omuto
eweema	eweemap	eweshw	ewewms
ogw'okuna	ogwiokuna	orw'okkja	ogw'okugx
y'amazzi	yeamazzi	h'amaxsi	y'anazzi
atayogera	atryogera	atayigera	atqyogwrs
okw'obulimba	nkw'obulimba	lkw'lbhkimba	omw'obyiimbs
gugira	augira	gugida	ghhira
bagufudde	bagufadde	bagjfudde	baghfurde
basanga	basgnga	badanna	gaeanga
ng'ereeta	ng'ereety	ng'ersetw	ng'sreera
kufiirwa	kufiirwr	kufiiraa	kurnirwa
ereyaasa	ereyrasa	rreyaasd	ereyaaaa
mwebakire	mwebakiie	nwwbakore	mwebwkurs
n'ababaka	n'ababcka	j'ababaks	h'wbabaka
egy'amazzi	eby'amazzi	dgy'amaazi	fgg'amwzzi
n'omukonda	n'omukonra	b'omuoonxa	n'pmumpnda
tezinnabaawo	tezinnabaawoj	tezihnqbaawo	tezonnqbqqwo
walaba	falaba	salxba	wxlabw
naagenda	naagendap	nasgsndq	naagrnxq
abaayonoona	abaayonoena	abaayogokns	anaayonoonq
talyazaamaanyizza	talyazaamaanyizzr	tslyazaamaqnhkzzx	txiyazzsmwanyizza
okw'obwereere	okw'obwerehre	kkw'ibqereefe	onw'obwereede
bw'onoomalanga	bw'onoomaganga	hw'onoimalanga	bq'onlnmalanna
okutangiriranga	okutangihiranga	okutanglfiranga	kkutwngirugsnga
n'ezzadde	n'ezzmdde	n'wzzwdde	n'exzacee
ziryoke	niryoke	zityood	zuryoks
yawaayo	yawaayl	yasaayk	ywwaaym
agaasigala	agfasigala	qgaasiyala	qfaasivala
enkasi	enxasi	rmkqsi	dnkqzi
nazo	nazoi	bazp	hazp
bw'okola	bw'okoln	bd'okolz	bw'liolw
nnalagira	nnalagiva	nnalagigs	nmalagura
okulabirira	okulatirira	okulwbieita	okulavirifa
tamutegeera	tamutegeeras	tzmutfgeeda	tsmutwgrerz
n'abakungu	ngabakungu	n'abskungy	n'analungu
mbagoba	mbigoba	mbafobs	mvagkbx
kujooga	jujooga	kuholva	kujoofx
anaakuumanga	azaakuumanga	agzakuumwnfa	amaakiunanga
kuwona	kurona	kmwpna	kuwina
enkaaga	enraaga	enkaahd	dnuaara
mulaalike	mulaalwke	muoawliks	kulaalikd
ogw'ebyennyanja	ogw'ekyennyanja	ogw'efyebgtanja	ogw'ebyenmtqnja
biwunya	blwunya	biwunja	biwumya
batakwatanga	batakwmtanga	vatxkwaranna	batakaagxmga
ogukulukuta	ogukulusuta	pguuulukuga	onukhlukjta
ogumera	ogumema	oguhere	ogujera
okusobya	xkusobya	lkhsobta	oousobga
talaba	ealaba	tapanx	talqva
lekemu	oekemu	lrlemh	oekeju
kato	katom	kato	kato
alanga	alajga	apaggs	wlanfx
mangu	mazgu	manhy	mzhyu
bamalayo	bamalayoc	bwkalsyo	bxmalzyo
lwokka	lwlkka	lqokka	lsookz
eyajja	eyajjh	eyajjf	rhajja
siribasimbula	siribasiqbula	sicibasimhula	sieibwsjmbula
n'abatwala	n'abgtwala	n'abatdala	n'abatwqlw
muzizo	muzkzo	muzozu	juziao
owandiike	owondiike	owsndijje	owdndiikf
naakamaze	yaakamaze	nqakamasd	nzakwmaze
ab'ekibuga	ab'ekiiuga	ab'ekigoga	xb'ekinugq
n'azitema	n'azytema	n'axiheja	n'azptemz
obwambe	obpambe	lbwambf	obaajhe
z'abayimbi	z'abayimoi	c'abayimgi	s'anajimbi
obw'omukono	obq'omukono	obw'pmujpno	ofw'omgkono
kw'okufa	kw'ikufa	kw'omuta	kw'okyva
tebaayogera	tebaafogera	tebaaypneda	tebwayoretz
yeetuga	yietuga	yeethga	uretuga
erya	eria	etys	ebya
okusonyiyibwa	okusonyiyybwa	okksogyoyivwa	okusonyljibwx
mpeke	mpekc	mpeow	mpwkf
lujjudde	lujjuide	lijyucde	luujudfe
kutwala	kutwbla	outwala	kytwaos
ganziramu	ganzilamu	gxbairamu	ganzjrzmj
lw’e	lw’ez	le’e	lw’e
situla	siuula	slfulx	sityoa
ogw'ekyo	ogw'ekyo	ogw'rjyo	ogw'euyi
ndifuka	ndifcka	nxifikx	ndivykq
by'amafuta	by'amafuma	ny'amafuta	by'amafufa
abalwawo	abdlwawo	wbalwawi	sfalwawo
zaayolekera	zaayolekeraw	zaayomeuerx	zazyoleksgx
abaakugolokokerako	abaakugolykokerako	xbaakugolomokefzko	abqakygoiokojeesko
bawonyezebwa	bawonykzebwa	bawontfssbwa	bawohyezebqa
omugoyo	omogoyo	kmubiyo	onugoyp
muddayo	mbddayo	niddxyo	mudsaho
nkya	nkyap	nkgz	nnya
anakuwalira	anakuwalirav	anakuwakira	ahakuqaoira
kimbala	kigbala	kimgqls	kikbala
sidoni	sisoni	sldoni	sjvkni
by'ayogedde	by'ayoaedde	by'ayonwdde	by'aypgefde
asera	asern	aseha	assda
n'akiraba	njakiraba	n'akifsba	n'akirafa
balinkaabirira	balincaabirira	balinlqqborira	baoinkaabororq
zabbibu	zafbibu	xagbibj	xafbubu
eŋŋombe	pŋŋombe	fŋŋomnw	eŋŋombf
simba	simbau	simfw	slnba
banaayatulanga	bxnaayatulanga	banasyqtulznga	bajaagahulqngz
obeera	obeerae	ovferw	pbeeda
n'akasaale	n'akbsaale	n'xkqsaake	n'anasasle
ng'ayambadde	ng'ayambadbe	yg'ayambawxe	ng'ayambxdxe
kwongera	kwongerad	keobrera	kfobgera
busimba	pusimba	budimnq	bhslkba
onkolimirire	onkolimgrire	omkomimieite	knlklimirire
elugambo	jlugambo	emugajfo	elkgamro
ow'ekisa	jw'ekisa	od'euiea	ow'soisa
toganyanga	toganyanga	tjgamyanga	togdnyangw
kungi	kunki	jungl	mynfi
g'entiisa	g'entiioa	g'ejtujsa	g'enriisa
efaanana	efaznana	ffsananw	sfaanahs
beeri	bteri	fedri	bedrk
temwali	tomwali	temqaik	gemwaly
n'atuuma	n'atsuma	n'qtiuma	j'xtjuma
bweyalagira	bweyalugira	bwehalagiea	bafyalagoda
akacwano	akacsano	wkaxqano	akavssno
okuŋŋamba	okuŋŋambh	lkuŋŋalba	okhŋŋambw
atemya	atemoa	stemhz	xfdmya
anaakeberanga	anaakcberanga	znzakfberangz	agaaksberanys
nnaweebwa	nnaweebwai	mnaweebwa	nmaaeevwa
baaleeta	baaleeca	vsalseta	naaieeta
abasanyusa	abasanyuva	xbaxanuusa	avasajgusa
eky'omusajja	ekyiomusajja	eky'omusaunx	dky'omudxjja
mnntu	mnniu	hnnfu	mmjtk
sodomu	sjdomu	sodlmu	sisomk
alinyaga	alinyagp	aminycga	zlinyaha
n'amagezi	n'amagezq	j'aksgezi	n'ayagezk
ssanduuko	ssandouko	sswndiyko	ssanejukk
weekiri	weekiru	qwekiei	weejiri
naabategeeza	naabaeegeeza	gaabatefefza	bzabatsgseza
n'ekikolimo	n'egikolimo	g'ekukklimo	n'ekikolomp
abisaayi	dbisaayi	abieaato	abkqzayi
asobya	apobya	asohgq	zsobja
eriya	eraya	erjua	eriba
ddogo	dkogo	ddotl	deorl
eky'omutukuvu	eky'ouutukuvu	ekj'ohytukuvy	eky'omutkkuvi
ffembi	dfembi	gfrjbi	ffrmgi
eby'obuguzi	eby'obuguai	eby'obkvuzi	eby'objgjzo
bwegayirizi	bwetayirizi	beegzyigizi	bwehwyiriaj
kyatuukirira	kyatuukiripa	myztuukiriez	jyatuukidirs
babaleeta	babalepta	banalrsta	babamdeta
ogw'ente	ogw'fnte	oga'fmte	lrq'ente
kibeesittaza	kibeesistaza	kibdsslttazs	kibdespttazs
n'atwala	n'atyala	n'aywsla	n'afwala
ziyimbira	zipimbira	zigimbifa	zibimbira
ababenyamini	ababanyamini	xbanrnyanini	abagenyamiji
abaserengetera	abaserengptera	abasdrengetrrz	xbaserebgetdga
agatali	agatalt	atarapi	agatxll
mulabe	mulabeh	hulxbf	mulabf
yimusa	yimusq	hihuwa	yikkza
ndidde	nzidde	ncudre	ndifdd
bayitibwa	bayitcbwa	bayitudwa	bsgitibwa
oligiteeka	yligiteeka	oligitedmx	oligiteeoa
k'ensawo	r'ensawo	m'wnsawk	k'ehsawk
ebibuga	ebibkga	ebivugs	ebibuva
kuwanirira	kuwanirira	kusanorura	kuwanjrida
n'okuwunya	t'okuwunya	j'ukuwunya	n'okuwuyga
tweteeseteese	tweteeseteese	twwtessetfesr	gweteezeteesd
egy'obubi	egy'obubia	wyg'obubi	egy'pbuei
asafu	asafut	asstu	azsgu
ng'alaga	ng'alaja	ng'alzya	ng'xoqga
iri	irm	iru	ito
ng'ebirimba	cg'ebirimba	hg'ebirkmba	ng'ehlrlmba
bannanfuusi	baonanfuusi	bamnanduusu	fahnagfuusi
muwenga	muwonga	nuwehba	huwehga
gibea	gcbea	yibra	gibee
olw'ekire	olw'eklre	jlw'ekirs	ols'ekife
eryo	erto	wgyo	eryo
sirikiwa	siriwiwa	sieikiwa	ciriniwa
n'ekya	n'vkya	h'dkya	n'ekya
omusolooza	omusodooza	omusololaa	omusoliozs
tetulirema	uetulirema	tdyulurema	tehuljrema
n'agutwala	n'agutwalw	n'arurwala	n'ahuywala
kusanyusibwa	ktsanyusibwa	iuxqhyusibwa	kysajyudibwx
bawakanya	basakanya	bzwauanga	bawakahya
obusirusiru	kbusirusiru	ibusirisjru	ohusorusoru
alikubuulira	blikubuulira	alikhguumora	clikubuklira
ababaliddwa	ababalidtwa	ababsoiddww	abwbeliddwa
okubafuga	okubafuia	kiibafuga	ouubwfugw
gy'atuwa	gy'acuwa	gj'atuws	gy'atuwa
nayingi	nacingi	nqyubgi	gayinji
luyimba	luyimbax	puykmva	luyijbq
weeyaze	weeyafe	wewyzxe	wfehase
bagendera	bagendery	bagenwets	bagejdera
okusinziza	ohusinziza	olusinsjza	okysinzozq
zajjanga	zajjanga	xajjxgga	zajjajya
babookya	yabookya	gabpokja	baboootq
okukulembera	okukulembera	okkkulehbera	okukulfjbere
abalunnyanja	vbalunnyanja	abwlumnyagjw	zbalunnjahma
enkya	eqkya	dnkga	wnkys
yafuza	yafuzaw	yqcuzq	gavuzx
baabano	baabaho	bwwbwno	baabamo
musawo	mukawo	huxxwo	kusqqo
ow'ezzadde	ow'ezzadde	ow'ezzasrs	lw'ezzadde
nnaakukolera	cnaakukolera	mnqakunplera	njaakhkopeta
n'abuulira	n'abuulirai	b'abiulira	n'qbuulira
n'okufuluma	v'okufuluma	n'olifulumx	n'oiufuljoa
immeri	immbri	igjeri	ihheti
olw'abawala	olw'abawalj	iow'abaeala	opd'abawdla
punoni	pnnoni	pnhoni	ounoho
twogedde	tqogedde	tsogedce	ywogfdce
banaamuloopa	banaamukoopa	vanxamulooow	bwnaamukoopa
zzaayo	zzaauo	zzczyo	zzxayl
baamuzaalirwa	baamuzoalirwa	bzanuzaalifwa	bwamusaqljrwa
ery'ebiwoobe	erylebiwoobe	eey'eviwoond	ery'ebiaokbw
mutta	muttac	muhfa	mutgq
n'ekiwundu	n'ekiwunduu	g'emiwkndu	n'rkieunru
ez'okwawula	ez'okwawulz	ez'oiwawula	sz'okwawjls
ebyokwokya	ebyokwokyf	wbyokwlkya	ebyokwouta
okumukwatako	okumukwataku	okunykwatanp	okumukwwtakl
abaakwatanga	abaakwatadga	abaxkwahanga	qvaajwatqnga
n'amutabaala	n'amutabaalas	n'anutanaals	n'ajutahaama
oni	qni	ogi	oni
simooni	mimooni	sinoino	sinooui
okuruusa	okuduusa	okueuysw	okudkusa
ow’e	owke	is’e	ka’e
wanaaba	wnnaaba	sanzxba	danaabw
bamutunuulira	bajutunuulira	bamuthbuumirz	bamutinuulirx
kubang	kunang	kufznf	kuheng
lw'amatabi	lw'amatwbi	la'zmatabi	kw'amarabi
omuyise	omuyisey	lhuuise	omuypze
sobayi	sobaji	aobaji	wofsyi
aboogera	abongera	ablogsta	xhoogera
baabeeranga	baakeeranga	bawbeerqnra	naabewrzngq
eteriggwaawo	eteriggwbawo	eteritgsaaap	egeritgwzxwo
bivudde	bivuddeh	bivhvde	bugidde
abaalya	alaalya	agzalga	avqslya
kubuze	kubuve	kubuze	kubuad
balye	balyu	balhf	balye
yalebu	yaeebu	yqlsbu	ywldbj
yeewala	yeewpla	jeessla	ydewdla
guliba	quliba	nulibw	guiibx
abakyusa	abakymsa	abwjtusa	abskjjsa
ekirowoozo	ekirowobzo	ekkrowpozo	eiirosooxo
n'ateerongoosa	n'areerongoosa	n'ateerobfoosz	n'adeesongooea
bw'onookolanga	gw'onookolanga	bw'onoouokange	fq'onoooomqnga
ekkomera	hkkomera	rkkomrea	ekkljsra
olw'ekibi	olw'eeibi	olw'wkiji	klw'eklbl
bisibenga	bisixenga	bisonrnga	bieibfnra
balangirira	balangtrira	galangurirw	valanrlriga
ekigenda	ekizenda	rkinendq	ekihdndx
olw'o	olw'oy	ola'o	ops'o
binaabanga	binaabalga	ginaxbqnga	binzabangs
n'oguteeka	m'oguteeka	h'kguteena	m'kguteeks
n'amusisinkana	n'amusisinpana	g'ajusksinkana	j'amudiskhkama
mutabani	mutabavi	nutavanu	mutqbqni
siritya	siiitya	sldityw	sirltya
daaya	naaya	raays	daauz
yozadaki	mozadaki	yozqeaki	yozawski
baabakuba	baabaguba	nawnakuba	baabqkjga
ng'ennyama	ng'ennaama	ng'emnyama	mv'ennyzma
okusagaasagana	okusagaasapana	omusagsasagana	olusqgqassrana
kubaawo	oubaawo	jubawwo	kubxzwo
n'ebbiri	k'ebbiri	n'ebbjrj	n'fbbieu
ofula	yfula	ocuia	ofuls
zizze	zizzc	zkxze	zlzze
n'aleetebwa	n'aleetebwv	n'dlewtebwa	n'apertebww
tuneebazanga	tukeebazanga	tjneehazangs	tundebazanga
zibyoni	zhbyoni	aubtoni	zobyonk
bw'ekitala	bw'ekitala	vw'wkigala	ge'ekifala
eky'enkindu	ely'enkindu	fky'cnkindu	rkh'dnkindi
ndikusasula	neikusasula	ndinusasjlw	hwikusasulw
alikukuba	aliiukuba	alikhkuba	wmokukuba
muwulirize	vuwulirize	muaulirjze	muajlirize
kuguzza	kuguzzd	kkgizzw	kutyzza
eyalaba	eyclaba	fyalabz	eywlqbx
beriali	beriqli	bbriaki	bdriakj
n'amutikkira	n'gmutikkira	n'amjthkkifa	n'amutikkirz
kampegaano	kampegagno	kxmpwgaanp	nanpegaaho
n'ekigero	n'ekigerot	n'ekineto	m'ekigefo
eddiini	ehdiini	fdriiji	wsciini
ssatu	ssati	saatu	wzwtu
muluvu	munuvu	gulucu	muojvu
bw'omujoozi	bc'omujoozi	ba'kkujoozi	bd'onujoozi
eky'omunnyo	eky'omunnyw	wky'omunnuo	eky'omunnyp
tutya	tutyal	tuttw	tjtfa
bw'obulamu	bw'obulams	bw'onulahu	gw'ofulwmu
n'emenyaamenya	n'emenykamenya	n'emenuaahenja	n'ejenyeamwnya
amapeesa	amapeeaa	amxlefsa	amakefsa
byenkana	bdenkana	biebkana	gtenkanq
nazikiriza	nazikireza	nazikifisq	naaikigiaa
atawulira	vtawulira	wfawuliga	ahawulira
gumujjira	grmujjira	gunijjira	vunujjirz
minafu	minefu	minxfh	higaru
oyatudde	ozatudde	oyahudwr	ogsgudde
mwerage	mwerage	mwdrags	mwdgate
ey'olusozi	ey'ulusozi	et'oljsozi	fy'oihsozi
wasobya	wasobyu	wawobhq	wxaofya
n'agirira	n'anirira	n'avidira	n'agirirq
ekikadde	ekikajde	wkikadde	ekikadvr
olw'okujooga	olw'okujooia	plw'okujolgq	ilw'okunkoha
bafukamira	bafzkamira	fafukwkira	bafhkanora
mulisiima	mulisiima	mulksjimq	milociima
okusangulibwa	okusangulibwar	omuxajgulibea	okusangklknsa
ey'ebuvanjuba	ey'eruvanjuba	ey'sbuvanynba	sy'ebucanjuba
kutambulira	kutambulirae	jitambulifa	kktsmbilifa
ebigero	ebijero	rhigeri	ebigfru
nneenyumiriza	nneenyumirizv	nnwrnyumogiza	jnesnjukiriza
nnakuweerezanga	nnakuweerezanea	nnskuwedrwzznga	hhakuwedrezants
bamuloopa	damuloopa	bwmuloika	banyloopa
obw'abantu	obw'abantp	obw'abznhj	obw'zbanyu
zowaani	zowaaki	zowzqhi	sowaani
ndowoozezza	ndowoozuzza	ndowlozwxza	ndofoozezza
yaggwa	saggwa	gqggwa	hxggwa
basaabala	basaabalat	bssaxbzla	bwsaavala
okw'edda	okd'edda	okw'ecda	oks'ddda
n'abeebagadde	n'abeeeagadde	h'aneebwgadde	n'abdevagadsd
eby'emitima	eby'ematima	eby'ehjtlma	evf'emitima
olw'ekkanzu	olw'ekyanzu	olw'ekkanxu	olw'rkkznzu
iyeabalimu	iyeabaoimu	oyeahalimu	iyeabwliju
kw'oyima	kw'oyimav	kq'lylma	kw'oyomw
lyatika	lyatikq	pyaglka	luxtikz
netofa	nbtofa	nfgoda	netoda
ekitindiro	ekitindqro	gkitjndiro	eiitljdiro
mukomerere	mukomerehe	mumknerere	nukpkerere
nalayira	nalayvra	nalagura	malauita
n'abasinza	n'abasinzaw	n'abasknaa	g'abasigaa
n'obuwombeefu	n'obuwombegfu	n'kbuwojfeefu	n'obuwlkneefu
weereza	wpereza	eefresa	qerrezx
w'ekidiba	w'ekidqba	w'ekovkba	w'ekudifs
olimba	olioba	iliuba	olinba
okusemberera	okusembirera	kmusembsrers	okusembegerw
gw'ebintu	gwqebintu	gw'eginth	ge'rhintu
sevene	scvene	deffne	sefdne
b'oyo	b'oyoz	n'kyo	b'ogo
obuyinza	gbuyinza	lbuyiyza	ohyyinza
yeebaliza	yeeaaliza	yewbaliss	gfebaliza
abidaani	abifaani	qfidaxni	abifaani
obutono	obutoni	onuhoni	obkgino
basibibwa	basibbbwa	bzsibubwa	gasibifwq
tunuulira	tunuulgra	runjulida	tumyuoira
ndireeta	tdireeta	hdigeets	ndirrwtw
neeko	nreko	ndeki	nerui
temukyamanga	iemukyamanga	temikywmabgw	tdmukyamabgz
ababuuka	ababurka	ababukjz	sbabuhka
mulisomoka	mulisvmoka	mhkiskmoka	bulksomoka
kaalyo	kavlyo	keamyo	kxaoyo
anajja	anijja	andjja	anwjja
ekigero	eyigero	wiigego	skigefl
ogabire	odabire	ofaburs	pgabire
kkoao	kkoaoa	kjozo	kkkak
kiggwaawo	kiggwrawo	kigyqaawp	oiggeaawo
enkalu	enoalu	enjaku	ennzly
gatalagira	gatalagcra	rataoarira	hwtalagirw
by'atumye	by'ltumye	fy'atuhhe	by'afhmye
abeekobaana	aberkobaana	abdejobzana	xbeemobaans
bambula	bambulal	vakbula	bsmbula
yakkiriza	yakkirfza	tailiriza	yaklieiza
azuukusa	azuukusb	wzuuiusa	azuukuss
obwoya	obwoja	obwohs	ibwoya
n'ennyonta	n'ennyoata	n'wnngonts	b'ennyknta
gwalekawo	gwllekawo	gwakekawo	gwslekaqo
baliwulira	baliwilira	baliwhljrx	fakiwulita
zijjudde	zijjvdde	aijiufde	zkjyudde
eyalwana	eyalwena	ehslsana	dhakwana
buguzi	bugumi	buguqj	nuguzo
kuŋŋaanya	kuŋŋainya	iuŋŋaanys	juŋŋqanya
ng'emaze	ng'emazen	nn'emzze	ng'wmaze
kukaaba	gukaaba	kukaaga	ukkasba
yasigira	yaeigira	jasitirx	yqxigirq
saafu	saafj	swqfu	eaafu
abakuli	abvkuli	sbakumk	anskkli
ekiggibwa	ekiggibwg	ekjggibex	eniggubww
bakaboaa	bakaboha	bamwbkaa	bakaboaa
ly'embizzi	ly'embipzi	ly'embizzm	lt'smbizzi
ebyenkanidde	ebyenkjnidde	egyenmanhdde	ehyenkanizxe
aberi	aberx	abrru	agsri
yafukako	yafukakd	yafjkxko	uafumwko
beri	bezi	betk	gefi
bamussaako	bamusshako	bamuzeawko	bamusczsko
sisera	siskra	sidesa	wisrra
ttono	ttonoy	tyogo	hrono
balabira	balabiva	balzbkda	famabirs
olukadde	ogukadde	pluiaddw	llikadde
naayimusanga	naayimksanga	naayimkswngq	naayiouzangw
awasalirwa	awasasirwa	aexsaiirwa	aqasaliwwa
sibamanyi	sizamanyi	aubamanti	sibqjznyi
n'olukindu	niolukindu	h'olukjndi	n'ominindu
baayenda	bdayenda	baatfndz	baajsgda
eyasaanira	eyasaanirq	fyasxznira	eyasaanltx
y'ekika	e'ekika	y'wkika	y'wkika
ebimuli	ebimuji	ebhmili	efimuki
nkikola	rkikola	hkikokz	niikoia
zabudi	zabudc	zabkwl	zxbudk
g'emikono	w'emikono	n'eminino	g'emioini
baaviira	baavifra	fzaviura	baaviora
mpya	mpyd	mpjz	npya
eky'ebikoomi	eky'ebifoomi	ekt'dbiioomi	ekh'ebikolmi
n'olw'abantu	n'olw'abantw	n'oiw'avantu	n'klw'avantj
ekikulobedde	ekikjlobedde	eklkulobrvdw	fkikulpbsrde
zaayita	zaayixa	zzqyira	zaqtita
nsaka	nsasa	nswkz	nzaka
n'okulowooza	n'okulawooza	n'ouumowooza	b'olilowooza
gukakanyala	gukxkanyala	gumakahyala	bukzlagyala
egwiriddwako	egwmriddwako	egwofiddwsjo	egwlfidvwakl
kita	kits	klfa	kirs
bagisuula	bdgisuula	banisuilq	bwgiquulq
ng'okuweereza	ng'okuweerlza	ng'okjweereaa	ng'okuwerrezz
mutume	mutumet	mytine	mufuje
ekyole	eklole	ekyome	eoyoke
kigasa	kigasc	ligssw	minaqa
n'asooza	n'asoozao	g'asoosq	n'awoiza
yajjanga	yajjanga	yamjznra	uaujangq
bw'onoggyanga	bw'onogeyanga	vw'inoggyangx	bw'inotgianga
okwekweka	okwekwekao	okaeoweka	okweuwema
n'emigogo	nnemigogo	n'emiglrk	n'wninogo
kedolawomeeri	kedolawomeerii	ksdolafimeeri	kerllawomfefi
ebiriko	exiriko	ebyroko	ebkrooo
beeteekerateekera	meeteekerateekera	veetfeuerateeksrw	becyeeidrateekdra
ky'abagenyi	ky'abagenyiw	oy'abagemyl	ky'zbagehyl
bw'oyogedde	bw'oypgedde	gw'kyogeede	nw'otogexde
aligolokoka	aligoaokoka	aljtolokpka	apkgkookoka
omusalaba	omusklaba	omuqalafw	imuwxlaba
obuguzi	onuguzi	obuyuzu	nbuguzi
ndikomyawo	rdikomyawo	jdlkomyawp	ndjkkmyawo
eky'okuziikangamu	ekyjokuziikangamu	eky'okuqiiisngqmu	dky'okiaijkahgqmu
otusudde	itusudde	otjskddf	oghskdde
by'ensi	by'enst	by'dnsk	gy'snsk
ey'okusaasira	ey'xkusaasira	ey'okhsaasjta	em'ikusaasira
taliyimirira	taliyimigira	faliyibirora	rqliyimirira
weewaawa	weegaawa	weewazwa	weewazqa
galiraba	gtliraba	gziirafa	geloraba
ball	ballb	valk	bapl
ndiragirira	ndiragirirt	nxoragirida	ndiravhrida
abawanvu	abawanvn	abxwabvh	agwaanvu
n'okulimanga	n'okulgmanga	n'okuljjabya	n'ojulkmangs
bakukubira	bakukubisa	bakkkhbirx	balhkubirz
n'amatwale	n'amatwqle	n'wmqywale	n'amatwaid
egy'ababi	egy'ababc	egt'ababi	evt'ababi
alabikidde	alazikidde	smzbikidde	qlabinidde
amakuŋŋaaniro	amakuŋŋaaniroi	ahakiŋŋaanifp	amakuŋŋzxhiro
n'ez'emizeyituuni	n'ez'emideyituuni	n'ez'rkizegituugi	n'ss'emizrhituuni
takola	tafola	taipoa	rzkola
ng'obukulu	ng'obukslu	mv'obhkulu	ng'obukuou
n'omukadde	k'omukadde	n'imumaddf	b'kmukadde
n'asanyusibwa	n'asanyusibwau	m'asanyhribwa	n'esanyusibqa
obuwoomerevu	obewoomerevu	objwoiherebu	onjwkoherevu
zibeera	zibeerx	zibrefs	zkbeerz
n'okusobya	p'okusobya	h'okusibya	g'oiusonya
amatendo	vmatendo	ahatenxk	amatrgeo
n'abaisiraeri	n'abapsiraeri	n'abaidkraerj	b'abxisirqwri
ensa	easa	rnss	snsx
kyeyava	kyeyuva	jjfyava	lyegada
magumba	maoumba	kafumbw	mxrumfa
oferi	oferiw	lfefi	ogeri
onoonya	onojnya	pnlonyq	onoojuz
baasima	baagima	baasula	bzaxima
beenoonyeza	beenoxnyeza	befjoonyezx	vewnolnyezq
biriyita	yiriyita	horiyitw	biriyihc
ng'edda	ng'eddb	hg'edda	jg'wrda
ow'oku	ow'zku	oe'pju	oa'oku
siibabuulire	siibabsulire	siibqbyulire	ciinznuulire
n'ekigo	n'ekimo	b'enigo	j'wkigo
mubakolenga	nubakolenga	mubakomevga	kunakklenha
nsomoke	xsomoke	hsomome	nqkmoks
mutego	mupego	mkgegp	kutegl
bufukibwa	buftkibwa	buehuibwa	bufhklbwa
kulabika	kulzbika	kumabula	kulxvikz
buyindi	buyiedi	bhtundi	buyonsi
kyakwo	kyqkwo	oyaiwo	kuakdo
n'abeera	n'zbeera	n'abfegx	n'agfera
ntil	ntilg	nyjl	ntpl
lwaki	lwakt	lwaki	mwdki
toyanukula	toyanukuka	tlyxnukulz	tktqnukula
agunja	agonja	avunjx	egujja
kyagyo	kyawyo	ojagyo	jyagto
musanyuse	musanynse	mhsabyusf	mucanyusa
ng'akagga	ng'akaggm	mv'akagba	hg'akxgga
n'asangula	n'asangura	n'adanfula	h'azangula
eyabaggya	eyqbaggya	etahabgya	dyabsggua
mbalaasi	tbalaasi	mbwoaasl	mnalaqei
n'okutendereza	n'okutenderezas	n'omutrgdereza	n'okkjenderezq
ng'ennyonyi	bg'ennyonyi	ng'ennykngi	nn'egnyongj
g'abayudaaya	g'gbayudaaya	t'abayodwaya	g'ahayidasys
ab'ebifo	as'ebifo	ab'dbifm	ab'ebmfl
bakolera	brkolera	baioirra	balolera
bifo	hifo	bigp	bjro
eyazikiriza	erazikiriza	syaxikirisa	eyazukieizx
bayitawo	bayivawo	bagltawi	fsyitawi
omuzingo	omuzingh	pmizihgo	lmyzkngo
agolokokera	alolokokera	agikojokera	agoookoksrw
ey'emirembe	ey'emiremme	eg'emirwnbe	ey'emnremfe
w'omuggo	w'omugqo	w'omiyfo	x'omugno
yatanula	yatqnula	yatxnyma	yxtanukq
aweebwenga	aweebvenga	awerbqenba	aweebqrgga
ky'aneegayiriranga	ky'areegayiriranga	oy'anewgayirifanra	ky'aneevsuudiranga
naawonyanga	nacwonyanga	jaawonyxnfa	gaawlnyagta
bakubibwa	bauubibwa	bwkuvubwa	bskubihww
nayita	nayica	nwhiga	nagutx
n'asemberera	n'asemberjra	n'xsenbwrrra	n'aaemnerera
nkyaliwo	nkyaliwo	gkyaliwo	nmtalieo
ez'abaleevi	ez'abalesvi	ez'wnaleevi	es'abslwevi
olw'okuwonga	olw'okuwonga	okw'okuwkhna	llw'okuwknnq
buyisi	bukisi	vuuiai	buhlso
oggyeemu	ogggeemu	jggyremu	oygheemu
kumanya	kvmanya	lukqnya	kumanyq
maala	maula	maaix	haals
banywe	banywk	gamgwe	bajyqe
naakuwanga	naakuzanga	nsakywxnga	nwakuqanra
bateesezza	bateesezzg	fatdesezza	bareedezxa
n'okulimba	n'okulcmba	h'kkulimfa	n'okulimbw
bitukuvu	bwtukuvu	bituhkvu	bkrukuvh
omwamoni	omwahoni	onsamlni	omwajlnj
bamuddamu	bamuadamu	bakuedaju	bamjdsamu
abaagalwa	abaxgalwa	abawgzlsa	wbaqgakwa
adeni	adeniq	ademl	wvehi
mikka	pikka	mimoa	milka
bwel	bqel	nwsl	bqeo
gwagyetooloola	gwagyetooloolap	gwqgystiolooia	gwagufrokloolz
kutya	kmtya	kuhta	kugha
gasaanikira	glsaanikira	gasaanukjfa	nzszanikira
n'evaamu	n'evagmu	h'fvaamu	h'evaamy
temufuluma	temufulumah	tekufulujw	tsnuguluma
ky'amaaso	wy'amaaso	ny'amaqso	my'smaaao
